Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Protein/100g,Carbs/100g,Calories/100g
Cows' milk,1 qt.,100,660,32,40,36,0,48,Dairy products,3.28,4.92,6.6
Milk skim,1 qt.,100,360,36,0,0,0,52,Dairy products,3.66,5.28,3.6
Buttermilk,1 cup,100,127,9,5,4,0,13,Dairy products,3.66,5.28,1.27
Eggs Scrambled or fried,2,100,220,13,16,14,0,1,Dairy products,10.16,0.78,2.2
Bacon,2 slices,100,95,4,8,7,0,1,"Meat, Poultry",25,6.25,0.95
Corned beef hash canned,3 oz.,100,120,12,8,7,0,6,"Meat, Poultry",14.12,7.06,1.2
Pot-pie,1 pie,100,480,18,28,25,0,32,"Meat, Poultry",7.93,14.1,4.8
Corned beef hash Stew,1 cup,100,185,15,10,9,0,15,"Meat, Poultry",6.38,6.38,1.85
Clams,3 oz.,100,87,12,1,0,0,2,"Fish, Seafood",14.12,2.35,0.87
Scallops,3 1/2 oz.,100,104,18,8,0,0,10,"Fish, Seafood",18,10,1.04
Asparagus,6 spears,100,18,1,0,0,0.5,3,Vegetables A-E,1.04,3.13,0.18
Beans,1 cup,100,25,1,0,0,0.8,6,Vegetables A-E,0.8,4.8,0.25
Lima,1 cup,100,140,8,0,0,3,24,Vegetables A-E,5,15,1.4
"Lima, dry, cooked",1 cup,100,260,16,0,0,2,48,Vegetables A-E,8.33,25,2.6
"Navy, baked with pork",3/4 cup,100,250,11,6,6,2,37,Vegetables A-E,5.5,18.5,2.5
Red kidney,1 cup,100,230,15,1,0,2.5,42,Vegetables A-E,5.77,16.15,2.3
Bean sprouts,1 cup,100,17,1,0,0,0.3,3,Vegetables A-E,2,6,0.17
Beet greens,1 cup,100,27,2,0,0,1.4,6,Vegetables A-E,2,6,0.27
Beetroots,1 cup,100,1,12,0,,0,0.8,Vegetables A-E,7.27,0.48,0.01
Broccoli,1 cup,100,45,5,0,0,1.9,8,Vegetables A-E,3.33,5.33,0.45
Brussels sprouts,1 cup,100,60,6,0,0,1.7,12,Vegetables A-E,4.62,9.23,0.6
Sauerkraut,1 cup,100,32,1,0,0,1.2,7,Vegetables A-E,0.67,4.67,0.32
Steamed cabbage,1 cup,100,40,2,0,0,1.3,9,Vegetables A-E,1.18,5.29,0.4
Carrots,1 cup,100,45,1,0,0,0.9,10,Vegetables A-E,0.67,6.67,0.45
"Watercress stems, raw",1 cup,100,9,1,0,0,0.3,1,Fruits A-F,2,2,0.09
Banana,1 med.,100,85,1,0,0,0.9,23,Fruits A-F,0.67,15.33,0.85
Blackberries,1 cup,100,85,2,1,0,6.6,19,Fruits A-F,1.39,13.19,0.85
Blueberries,1 cup,100,245,1,0,0,2,65,Fruits A-F,0.4,26,2.45
Cantaloupe,1/2 med.,100,40,1,0,0,2.2,9,Fruits A-F,0.26,2.37,0.4
Cherries,1 cup,100,100,2,1,0,2,26,Fruits A-F,0.78,10.12,1
"Fresh, raw",1 cup,100,65,1,0,0,0.8,15,Fruits A-F,0.88,13.16,0.65
Dates,1 cup,100,505,4,0,0,3.6,134,Fruits A-F,2.25,75.28,5.05
Biscuits,1,100,130,3,4,3,0,18,"Breads, cereals, fastfood,grains",7.89,47.37,1.3
Bran flakes,1 cup,100,117,3,0,0,0.1,32,"Breads, cereals, fastfood,grains",12,128,1.17
"Bread, cracked wheat",1 slice,100,60,2,1,1,0.1,12,"Breads, cereals, fastfood,grains",8.7,52.17,0.6
Waffles,1,100,240,8,9,1,0.1,30,"Breads, cereals, fastfood,grains",10.67,40,2.4
Wheat germ,1 cup,100,245,17,7,3,2.5,34,"Breads, cereals, fastfood,grains",25,50,2.45
Wheat-germ cereal toasted,1 cup,100,260,20,7,3,2.5,36,"Breads, cereals, fastfood,grains",30.77,55.38,2.6
Wheat meal cereal unrefined,3/4 cup,100,103,4,1,0,0.7,25,"Breads, cereals, fastfood,grains",13.33,83.33,1.03
"Wheat, cooked",3/4 cup,100,275,12,1,0,4.4,35,"Breads, cereals, fastfood,grains",6,17.5,2.75
Bean soups,1 cup,100,190,8,5,4,0.6,30,Soups,3.2,12,1.9
Almonds,1/2 cup,100,425,13,38,28,1.8,13,Seeds and Nuts,18.57,18.57,4.25
roasted and salted,1/2 cup,100,439,13,40,31,1.8,13,Seeds and Nuts,18.57,18.57,4.39
Brazil nuts,1/2 cup,100,457,10,47,31,2,7,Seeds and Nuts,14.29,10,4.57
Cashews,1/2 cup,100,392,12,32,28,0.9,20,Seeds and Nuts,17.14,28.57,3.92
